author,summary,subject,titulo,genero,categories,emocion,Combined
"Frederic, Harold, 1856-1898","""The Market-Place"" by Harold Frederic is a novel likely written in the late 19th century. The story revolves around the central character, Thorpe, who experiences a significant transformation following a triumphant business venture that puts him in a position of power and wealth. This dramatic shift leads him to reflect upon his past, confronts his relationships, particularly with his sister Louisa, and navigates the complexities of newfound success and the associated responsibilities.  At the start of the book, the scene opens with Thorpe alone in the Board Room, reflecting on his victory after a long struggle in the business world. He recalls the faces of those he considers his enemies, feeling exhilarated by his conquest yet haunted by the implications of his triumph. The narrative is sharply character-driven; as Thorpe pours himself a drink, he is soon joined by Lord Plowden, who expresses admiration for his achievements, thereby signaling the start of a partnership built on ambition and social climbing. The opening chapters delve into Thorpe's complex motivations, his transition from a long period of hardship to wealth and power, and hint at the moral ambiguities that accompany his rise, especially through his interactions with his sister Louisa, who remains wary and skeptical of his newfound aspirations. ",England -- Fiction Swindlers and swindling -- Fiction Nobility -- Fiction Capitalists and financiers -- Fiction Stock exchanges -- Fiction Jews -- Fiction,The Market-Place,ciencia ficción,{'ORG'},enojo,"Frederic, Harold, 1856-1898 ""The Market-Place"" by Harold Frederic is a novel likely written in the late 19th century. The story revolves around the central character, Thorpe, who experiences a significant transformation following a triumphant business venture that puts him in a position of power and wealth. This dramatic shift leads him to reflect upon his past, confronts his relationships, particularly with his sister Louisa, and navigates the complexities of newfound success and the associated responsibilities.  At the start of the book, the scene opens with Thorpe alone in the Board Room, reflecting on his victory after a long struggle in the business world. He recalls the faces of those he considers his enemies, feeling exhilarated by his conquest yet haunted by the implications of his triumph. The narrative is sharply character-driven; as Thorpe pours himself a drink, he is soon joined by Lord Plowden, who expresses admiration for his achievements, thereby signaling the start of a partnership built on ambition and social climbing. The opening chapters delve into Thorpe's complex motivations, his transition from a long period of hardship to wealth and power, and hint at the moral ambiguities that accompany his rise, especially through his interactions with his sister Louisa, who remains wary and skeptical of his newfound aspirations.  England -- Fiction Swindlers and swindling -- Fiction Nobility -- Fiction Capitalists and financiers -- Fiction Stock exchanges -- Fiction Jews -- Fiction"
"Boyesen, Hjalmar Hjorth, 1848-1895","""Tales from Two Hemispheres"" by Hjalmar Hjorth Boysen is a collection of stories written in the late 19th century. The opening tale introduces Halfdan Bjerk, a young Norseman who arrives in America, filled with idealistic dreams of freedom and success but soon finds himself facing the stark realities of immigrant life and societal indifference.   At the start of the book, we meet Halfdan as he disembarks in New York, excited yet terrified of his new life. As he navigates the bustling streets, he grapples with feelings of isolation and dislocation, compounded by a series of misfortunes, including losing his belongings and being fined as a vagrant. Through his encounters—both with the charming innocence of a young girl named Clara and the dismissive attitudes of adults—Boysen paints a poignant portrait of an immigrant's struggle to find his place in a vibrant yet unforgiving society. The opening effectively sets the stage for Halfdan's journey, highlighting themes of belonging, identity, and the often harsh contrast between dreams and reality. ",Short stories Norwegian Americans -- Fiction,Tales from Two Hemispheres,ciencia ficción,{'NORP'},enojo,"Boyesen, Hjalmar Hjorth, 1848-1895 ""Tales from Two Hemispheres"" by Hjalmar Hjorth Boysen is a collection of stories written in the late 19th century. The opening tale introduces Halfdan Bjerk, a young Norseman who arrives in America, filled with idealistic dreams of freedom and success but soon finds himself facing the stark realities of immigrant life and societal indifference.   At the start of the book, we meet Halfdan as he disembarks in New York, excited yet terrified of his new life. As he navigates the bustling streets, he grapples with feelings of isolation and dislocation, compounded by a series of misfortunes, including losing his belongings and being fined as a vagrant. Through his encounters—both with the charming innocence of a young girl named Clara and the dismissive attitudes of adults—Boysen paints a poignant portrait of an immigrant's struggle to find his place in a vibrant yet unforgiving society. The opening effectively sets the stage for Halfdan's journey, highlighting themes of belonging, identity, and the often harsh contrast between dreams and reality.  Short stories Norwegian Americans -- Fiction"
"Jefferson, Thomas, 1743-1826","""The Declaration of Independence"" is a seminal historical document crafted by the Founding Fathers of the United States, specifically authored by Thomas Jefferson and other members of the Continental Congress in the late 18th century. This important text serves not only as a declaration of independence from British rule but also outlines the philosophical basis for the United States’ formation, emphasizing the principles of equality and the rights of individuals.   The document articulates grievances against King George III, detailing the various injustices and oppressive actions that justified the colonies' decision to sever ties with Great Britain. It asserts that all men are created equal and are endowed with certain unalienable rights, such as life, liberty, and the pursuit of happiness. The Declaration goes on to enumerate a list of the king's transgressions against the colonies, marking him as a tyrant unfit to govern. Ultimately, it culminates in the assertion that the thirteen colonies are free and independent states, fully empowered to govern themselves and engage with the world as sovereign entities. This powerful statement not only informs the historical context of the American Revolution but also has had a lasting impact on democratic ideas globally. ","United States -- History -- Revolution, 1775-1783 -- Sources",The Declaration of Independence,historia,"{'DATE', 'GPE'}",enojo,"Jefferson, Thomas, 1743-1826 ""The Declaration of Independence"" is a seminal historical document crafted by the Founding Fathers of the United States, specifically authored by Thomas Jefferson and other members of the Continental Congress in the late 18th century. This important text serves not only as a declaration of independence from British rule but also outlines the philosophical basis for the United States’ formation, emphasizing the principles of equality and the rights of individuals.   The document articulates grievances against King George III, detailing the various injustices and oppressive actions that justified the colonies' decision to sever ties with Great Britain. It asserts that all men are created equal and are endowed with certain unalienable rights, such as life, liberty, and the pursuit of happiness. The Declaration goes on to enumerate a list of the king's transgressions against the colonies, marking him as a tyrant unfit to govern. Ultimately, it culminates in the assertion that the thirteen colonies are free and independent states, fully empowered to govern themselves and engage with the world as sovereign entities. This powerful statement not only informs the historical context of the American Revolution but also has had a lasting impact on democratic ideas globally.  United States -- History -- Revolution, 1775-1783 -- Sources"
"Wilde, Oscar, 1854-1900","""The Ballad of Reading Gaol"" by Oscar Wilde is a poignant poem written in the late 19th century during the Victorian era. This narrative poem reflects on themes of guilt, love, and the harsh realities of justice as it unfolds within the confines of a prison. The work explores the experience of a condemned man and the psychological torment faced by both the perpetrator and those who witness the grim processes of capital punishment.  The poem follows the perspective of a fellow inmate in Reading Gaol, who observes the fate of a man sentenced to hang for murdering the woman he loved. Through vivid imagery and emotional depth, Wilde conveys the idea that everyone, in some way, kills the love they cherish, whether through betrayal, neglect, or direct harm. The poem critiques the justice system, exposing its cruelty and the complete lack of compassion in the face of human suffering. As the narrative progresses, it reflects the despair and moral conflict that arises within a system that takes life in the name of law, eliciting sympathy not only for the condemned but also for the common human experience of love and loss. ",Imprisonment -- Poetry Prisoners -- Poetry Prisons -- Poetry,The Ballad of Reading Gaol,poesía,set(),alegría,"Wilde, Oscar, 1854-1900 ""The Ballad of Reading Gaol"" by Oscar Wilde is a poignant poem written in the late 19th century during the Victorian era. This narrative poem reflects on themes of guilt, love, and the harsh realities of justice as it unfolds within the confines of a prison. The work explores the experience of a condemned man and the psychological torment faced by both the perpetrator and those who witness the grim processes of capital punishment.  The poem follows the perspective of a fellow inmate in Reading Gaol, who observes the fate of a man sentenced to hang for murdering the woman he loved. Through vivid imagery and emotional depth, Wilde conveys the idea that everyone, in some way, kills the love they cherish, whether through betrayal, neglect, or direct harm. The poem critiques the justice system, exposing its cruelty and the complete lack of compassion in the face of human suffering. As the narrative progresses, it reflects the despair and moral conflict that arises within a system that takes life in the name of law, eliciting sympathy not only for the condemned but also for the common human experience of love and loss.  Imprisonment -- Poetry Prisoners -- Poetry Prisons -- Poetry"
"Husted, Michael","""The Fibonacci Number Series"" by Michael Husted is a scientific publication, likely written in the late 20th century or early 21st century. This work presents a detailed enumeration of the Fibonacci numbers up to the first thousand terms, showcasing their fascinating properties and sequences.   At the start of the publication, the author provides a structured list of the Fibonacci numbers, spanning from the very first number, 1, to the 1,073,210,323,786,401st, highlighting the increasing number of digits in each successive term. The layout is straightforward, featuring simple entries that incrementally present each Fibonacci number alongside its corresponding number in the sequence, which is useful for readers interested in number theory or mathematical properties related to Fibonacci sequences. The meticulous presentation suggests that the book is designed both for educational purposes and for enthusiasts seeking an extensive resource on Fibonacci numbers. ",Mathematics Fibonacci numbers,The Fibonacci Number Series,interes general,{'ORG'},alegría,"Husted, Michael ""The Fibonacci Number Series"" by Michael Husted is a scientific publication, likely written in the late 20th century or early 21st century. This work presents a detailed enumeration of the Fibonacci numbers up to the first thousand terms, showcasing their fascinating properties and sequences.   At the start of the publication, the author provides a structured list of the Fibonacci numbers, spanning from the very first number, 1, to the 1,073,210,323,786,401st, highlighting the increasing number of digits in each successive term. The layout is straightforward, featuring simple entries that incrementally present each Fibonacci number alongside its corresponding number in the sequence, which is useful for readers interested in number theory or mathematical properties related to Fibonacci sequences. The meticulous presentation suggests that the book is designed both for educational purposes and for enthusiasts seeking an extensive resource on Fibonacci numbers.  Mathematics Fibonacci numbers"
Anonymous,"""HomeBrew HomePages Put YOU on the World Wide Web"" by Anonymous is a shareware instructional guide written in the mid-1990s. The book aims to empower readers to create their own web pages, tapping into the burgeoning growth of the Internet during this time. It serves as a practical resource for individuals looking to establish an online presence as the World Wide Web became increasingly accessible to the general public.  The content of the book focuses on providing users with the tools and instructions necessary to build their own web pages using the provided zip file, homeb10.zip. It emphasizes the importance of understanding the accompanying files and instructions to successfully create a personal web page. Through this guide, readers are likely to learn about basic web design principles, tools for customization, and the foundational components of web development, all tailored for beginners keen on diving into the digital realm. ",World Wide Web,HomeBrew HomePages Put YOU on the World Wide Web,interes general,{'WORK_OF_ART'},alegría,"Anonymous ""HomeBrew HomePages Put YOU on the World Wide Web"" by Anonymous is a shareware instructional guide written in the mid-1990s. The book aims to empower readers to create their own web pages, tapping into the burgeoning growth of the Internet during this time. It serves as a practical resource for individuals looking to establish an online presence as the World Wide Web became increasingly accessible to the general public.  The content of the book focuses on providing users with the tools and instructions necessary to build their own web pages using the provided zip file, homeb10.zip. It emphasizes the importance of understanding the accompanying files and instructions to successfully create a personal web page. Through this guide, readers are likely to learn about basic web design principles, tools for customization, and the foundational components of web development, all tailored for beginners keen on diving into the digital realm.  World Wide Web"
"Paterson, A. B. (Andrew Barton), 1864-1941","""Rio Grande's Last Race and Other Verses"" by A. B. Paterson is a collection of poems written in the early 20th century. The poems encapsulate themes of Australian life, nature, and the spirit of farming and rural culture, featuring various characters and narratives that bring to life the country's unique landscape and experiences.  The opening of the collection introduces several verses that highlight different facets of Australian life, beginning with ""Rio Grande's Last Race,"" which tells the poignant story of a fearless rider, Jack Macpherson, as he faces his destiny during a thrilling horse race. The poem employs vivid imagery of the racecourse and the spectral presence of past champions guiding him, setting a tone of tragic heroism. Other verses, such as ""By the Grey Gulf-water"" and ""With the Cattle,"" expand the narrative to encompass themes of drought and perseverance amid hardship, suggesting a deep connection to the land and its challenging conditions. The opening portion poignantly showcases Paterson’s ability to weave stories about the Australian spirit through engaging characters and evocative verse. ",Australian poetry,Rio Grande's Last Race and Other Verses,poesía,{'NORP'},alegría,"Paterson, A. B. (Andrew Barton), 1864-1941 ""Rio Grande's Last Race and Other Verses"" by A. B. Paterson is a collection of poems written in the early 20th century. The poems encapsulate themes of Australian life, nature, and the spirit of farming and rural culture, featuring various characters and narratives that bring to life the country's unique landscape and experiences.  The opening of the collection introduces several verses that highlight different facets of Australian life, beginning with ""Rio Grande's Last Race,"" which tells the poignant story of a fearless rider, Jack Macpherson, as he faces his destiny during a thrilling horse race. The poem employs vivid imagery of the racecourse and the spectral presence of past champions guiding him, setting a tone of tragic heroism. Other verses, such as ""By the Grey Gulf-water"" and ""With the Cattle,"" expand the narrative to encompass themes of drought and perseverance amid hardship, suggesting a deep connection to the land and its challenging conditions. The opening portion poignantly showcases Paterson’s ability to weave stories about the Australian spirit through engaging characters and evocative verse.  Australian poetry"
"Gaboriau, Emile, 1832-1873","""The Count's Millions"" by Emile Gaboriau is a novel written during the late 19th century. The story is set in Paris and revolves around the enigmatic Count de Chalusse, his tumultuous household, and the mystery surrounding his wealth after an unfortunate incident leaves him incapacitated. The opening introduces the key characters, including the count’s beautiful ward, Marguerite, and the various servants who are embroiled in the intrigue and drama that unfolds with the count's sudden illness.  The opening of the novel depicts a stormy evening where the servants at the Hotel de Chalusse engage in gossip about their master and the oppressive atmosphere of the mansion. Their chatter is interrupted by the alarming arrival of a cab driver, who brings the count home in a state of unconsciousness after what appears to be a stroke. As the servants react with a mix of concern and selfish speculation about their futures, Marguerite appears on the scene, expressing deep anguish at the site of her guardian's condition. As the doctor arrives to assess the count's dire state, Marguerite learns that his earlier distress may have been triggered by a mysterious letter that he tore up, hinting at a connection to a larger intrigue that intertwines their fates. The opening lays the groundwork for a tale steeped in mystery, family secrets, and the struggle over immense wealth. ",Fiction Detective and mystery stories,The Count's Millions,ciencia ficción,set(),enojo,"Gaboriau, Emile, 1832-1873 ""The Count's Millions"" by Emile Gaboriau is a novel written during the late 19th century. The story is set in Paris and revolves around the enigmatic Count de Chalusse, his tumultuous household, and the mystery surrounding his wealth after an unfortunate incident leaves him incapacitated. The opening introduces the key characters, including the count’s beautiful ward, Marguerite, and the various servants who are embroiled in the intrigue and drama that unfolds with the count's sudden illness.  The opening of the novel depicts a stormy evening where the servants at the Hotel de Chalusse engage in gossip about their master and the oppressive atmosphere of the mansion. Their chatter is interrupted by the alarming arrival of a cab driver, who brings the count home in a state of unconsciousness after what appears to be a stroke. As the servants react with a mix of concern and selfish speculation about their futures, Marguerite appears on the scene, expressing deep anguish at the site of her guardian's condition. As the doctor arrives to assess the count's dire state, Marguerite learns that his earlier distress may have been triggered by a mysterious letter that he tore up, hinting at a connection to a larger intrigue that intertwines their fates. The opening lays the groundwork for a tale steeped in mystery, family secrets, and the struggle over immense wealth.  Fiction Detective and mystery stories"
"Wharton, Edith, 1862-1937","""The Early Short Fiction of Edith Wharton — Part 2"" by Edith Wharton is a collection of short stories and verse written during the late 19th and early 20th centuries. This volume features a mix of enchanting narratives, including ghostly tales like ""Afterward,"" and explorative pieces that capture the essence of life and relationships. Wharton's work delves into themes of memory, nostalgia, and the complexities of human emotion, often set against vividly described backdrops of English and American settings.  The opening of the collection focuses on ""Afterward,"" where we meet Mary and Edward Boyne, a couple who, after years of striving, settle into a rural English home named Lyng. Initially thrilled by their new life, Mary recalls a conversation with a friend about an elusive ghost in the house, shrouded in mystery and speculation. As they acclimate to their surroundings, a sense of foreboding emerges, particularly when hints of undisclosed secrets and unmentioned struggles begin to affect their relationship. The narrative sets a haunting tone, suggesting that the history of the house may intertwine with their present in ways that remain to be revealed, establishing a foundation for deeper exploration of existential themes that Wharton expertly crafts throughout her story collection. ","Fiction Short stories, American",The Early Short Fiction of Edith Wharton — Part 2,ciencia ficción,{'NORP'},enojo,"Wharton, Edith, 1862-1937 ""The Early Short Fiction of Edith Wharton — Part 2"" by Edith Wharton is a collection of short stories and verse written during the late 19th and early 20th centuries. This volume features a mix of enchanting narratives, including ghostly tales like ""Afterward,"" and explorative pieces that capture the essence of life and relationships. Wharton's work delves into themes of memory, nostalgia, and the complexities of human emotion, often set against vividly described backdrops of English and American settings.  The opening of the collection focuses on ""Afterward,"" where we meet Mary and Edward Boyne, a couple who, after years of striving, settle into a rural English home named Lyng. Initially thrilled by their new life, Mary recalls a conversation with a friend about an elusive ghost in the house, shrouded in mystery and speculation. As they acclimate to their surroundings, a sense of foreboding emerges, particularly when hints of undisclosed secrets and unmentioned struggles begin to affect their relationship. The narrative sets a haunting tone, suggesting that the history of the house may intertwine with their present in ways that remain to be revealed, establishing a foundation for deeper exploration of existential themes that Wharton expertly crafts throughout her story collection.  Fiction Short stories, American"
"Paterson, A. B. (Andrew Barton), 1864-1941","""Three Elephant Power and Other Stories"" by A. B. Paterson is a collection of short stories written during the early 20th century. The opening narrative introduces us to a character named Alfred, a rather reckless chauffeur, as he recounts an amusing story about an eccentric man named Henery who once drove a powerful car while dealing with humorous and chaotic situations in the Australian bush.   The beginning of ""Three Elephant Power"" sets the stage with Alfred's entertaining storytelling style, capturing the whimsical essence of bush life and the unpredictability of characters like Henery. In Alfred’s tale, he describes how Henery gets a hold of an incredibly fast car and his misadventures, culminating in a comedic encounter involving a circus elephant. This opener hints at the book’s blend of humor and colorful characters, promising amusing anecdotes filled with the charm of Australian rural life, making it an enticing read for those interested in lighthearted storytelling. ","Frontier and pioneer life -- Australia -- Fiction Short stories, Australian Australia -- Social life and customs -- Fiction",Three Elephant Power and Other Stories,ciencia ficción,"{'NORP', 'GPE', 'ORG'}",enojo,"Paterson, A. B. (Andrew Barton), 1864-1941 ""Three Elephant Power and Other Stories"" by A. B. Paterson is a collection of short stories written during the early 20th century. The opening narrative introduces us to a character named Alfred, a rather reckless chauffeur, as he recounts an amusing story about an eccentric man named Henery who once drove a powerful car while dealing with humorous and chaotic situations in the Australian bush.   The beginning of ""Three Elephant Power"" sets the stage with Alfred's entertaining storytelling style, capturing the whimsical essence of bush life and the unpredictability of characters like Henery. In Alfred’s tale, he describes how Henery gets a hold of an incredibly fast car and his misadventures, culminating in a comedic encounter involving a circus elephant. This opener hints at the book’s blend of humor and colorful characters, promising amusing anecdotes filled with the charm of Australian rural life, making it an enticing read for those interested in lighthearted storytelling.  Frontier and pioneer life -- Australia -- Fiction Short stories, Australian Australia -- Social life and customs -- Fiction"
"Jerome, Jerome K. (Jerome Klapka), 1859-1927","""Three Men in a Boat (To Say Nothing of the Dog)"" by Jerome K. Jerome is a humorous novel written in the late 19th century. The story follows three friends—George, Harris, and the narrator, along with their dog Montmorency—who embark on a comedic and chaotic boating trip on the Thames as a remedy for their various ailments and to seek some rest and relaxation from their busy lives.  At the start of the book, the trio discusses their health woes, convinced they all suffer from a myriad of conditions. They decide that a boating expedition would be the ideal way to rejuvenate themselves, and they begin planning their trip, which leads to amusing arguments and whimsical considerations about their journey. The opening chapters set the tone for a lighthearted exploration of friendship, adventure, and the misadventures that arise from their well-intentioned plans, capturing the comedic essence of their personalities and the challenges they face even before they set sail. ","Young men -- Travel -- England -- Thames River -- Fiction Boats and boating -- England -- Thames River -- Fiction Dogs -- Fiction Humorous stories, English Thames River (England) -- Fiction Male friendship -- Fiction",Three Men in a Boat (To Say Nothing of the Dog),ciencia ficción,"{'LANGUAGE', 'GPE'}",enojo,"Jerome, Jerome K. (Jerome Klapka), 1859-1927 ""Three Men in a Boat (To Say Nothing of the Dog)"" by Jerome K. Jerome is a humorous novel written in the late 19th century. The story follows three friends—George, Harris, and the narrator, along with their dog Montmorency—who embark on a comedic and chaotic boating trip on the Thames as a remedy for their various ailments and to seek some rest and relaxation from their busy lives.  At the start of the book, the trio discusses their health woes, convinced they all suffer from a myriad of conditions. They decide that a boating expedition would be the ideal way to rejuvenate themselves, and they begin planning their trip, which leads to amusing arguments and whimsical considerations about their journey. The opening chapters set the tone for a lighthearted exploration of friendship, adventure, and the misadventures that arise from their well-intentioned plans, capturing the comedic essence of their personalities and the challenges they face even before they set sail.  Young men -- Travel -- England -- Thames River -- Fiction Boats and boating -- England -- Thames River -- Fiction Dogs -- Fiction Humorous stories, English Thames River (England) -- Fiction Male friendship -- Fiction"
"Service, Robert W. (Robert William), 1874-1958","""Rhymes of a Rolling Stone"" by Robert W. Service is a collection of poems written in the early 20th century. The work expresses themes of adventure, freedom, and the human experience, often reflecting a deep appreciation for nature and the simple joys of life. Service's style is marked by a robust and energetic tone, capturing the essence of wanderlust and the spirit of the outdoors.  The opening of the collection introduces the poet's intent and philosophy. In the ""Prelude,"" Service declares that he writes not about idle dreams or romantic dalliance, but instead, he embraces an ""eager joy"" in the beauty of life and the call of adventure. The subsequent poem, ""A Rolling Stone,"" captures the speaker's longing for freedom and a carefree existence, emphasizing a connection to the natural world. Through lively imagery and rhythm, the reader is invited to join the poet's journey of exploration and discovery, revealing a love for both the wilderness and the camaraderie found in shared human experiences. ",Poetry,Rhymes of a Rolling Stone,poesía,set(),alegría,"Service, Robert W. (Robert William), 1874-1958 ""Rhymes of a Rolling Stone"" by Robert W. Service is a collection of poems written in the early 20th century. The work expresses themes of adventure, freedom, and the human experience, often reflecting a deep appreciation for nature and the simple joys of life. Service's style is marked by a robust and energetic tone, capturing the essence of wanderlust and the spirit of the outdoors.  The opening of the collection introduces the poet's intent and philosophy. In the ""Prelude,"" Service declares that he writes not about idle dreams or romantic dalliance, but instead, he embraces an ""eager joy"" in the beauty of life and the call of adventure. The subsequent poem, ""A Rolling Stone,"" captures the speaker's longing for freedom and a carefree existence, emphasizing a connection to the natural world. Through lively imagery and rhythm, the reader is invited to join the poet's journey of exploration and discovery, revealing a love for both the wilderness and the camaraderie found in shared human experiences.  Poetry"
"London, Jack, 1876-1916","""Before Adam"" by Jack London is a fictional novel written in the early 20th century. The book explores themes of evolution and ancestral memory through the lens of a unique narrator who experiences vivid dreams of a prehistoric existence. The protagonist, referred to as Big-Tooth, recounts his childhood among primitive ancestors, facing fears and adventures that take place in the wild during the Mid-Pleistocene epoch.  The opening of the novel introduces us to Big-Tooth, a child who grapples with nightmarish dreams filled with a profound sense of terror and longing for connection. He is different from his peers, as his dreams are populated by beings from a distant past, and he feels a strong disassociation between his waking life and his dream world. Through his memories, we meet other characters, such as his friend Lop-Ear and the ominous figure Red-Eye, whose violent presence contrasts with the camaraderie of the horde. Big-Tooth's narrative delves into his experiences of fear, discovery of nature, and the instinctual behaviors that define his existence, setting the stage for a deeper exploration of the primitive struggles of humanity. ",Fantasy fiction Prehistoric peoples -- Fiction Dreams -- Fiction,Before Adam,ciencia ficción,set(),enojo,"London, Jack, 1876-1916 ""Before Adam"" by Jack London is a fictional novel written in the early 20th century. The book explores themes of evolution and ancestral memory through the lens of a unique narrator who experiences vivid dreams of a prehistoric existence. The protagonist, referred to as Big-Tooth, recounts his childhood among primitive ancestors, facing fears and adventures that take place in the wild during the Mid-Pleistocene epoch.  The opening of the novel introduces us to Big-Tooth, a child who grapples with nightmarish dreams filled with a profound sense of terror and longing for connection. He is different from his peers, as his dreams are populated by beings from a distant past, and he feels a strong disassociation between his waking life and his dream world. Through his memories, we meet other characters, such as his friend Lop-Ear and the ominous figure Red-Eye, whose violent presence contrasts with the camaraderie of the horde. Big-Tooth's narrative delves into his experiences of fear, discovery of nature, and the instinctual behaviors that define his existence, setting the stage for a deeper exploration of the primitive struggles of humanity.  Fantasy fiction Prehistoric peoples -- Fiction Dreams -- Fiction"
"Wharton, Edith, 1862-1937","""Bunner Sisters"" by Edith Wharton is a novel written during the early 20th century. The story centers on the lives of two sisters, Ann Eliza and Evelina Bunner, who run a small, humble shop in New York City. Despite the modesty of their reality, the sisters cling to dreams and desires that often remain unfulfilled as they navigate their love lives, ambitions, and the societal expectations of their time.  The opening of the novel introduces readers to the Bunner Sisters and their quaint yet deteriorating neighborhood in New York. As the sisters prepare for Evelina's birthday celebration, the mundane aspects of their lives come to light, revealing their limited financial means and their contentment with their simple existence. Ann Eliza's poignant interactions with Evelina reflect the tension between their reliance on one another and their individual longings. The narrative suggests a transformative presence in the form of Mr. Herman Ramy, whose connection with the sisters will likely complicate their lives further, hinting at themes of love, sacrifice, and the stark realities of their social status. ",New York (N.Y.) -- Social life and customs -- 19th century -- Fiction,Bunner Sisters,ciencia ficción,"{'DATE', 'GPE'}",enojo,"Wharton, Edith, 1862-1937 ""Bunner Sisters"" by Edith Wharton is a novel written during the early 20th century. The story centers on the lives of two sisters, Ann Eliza and Evelina Bunner, who run a small, humble shop in New York City. Despite the modesty of their reality, the sisters cling to dreams and desires that often remain unfulfilled as they navigate their love lives, ambitions, and the societal expectations of their time.  The opening of the novel introduces readers to the Bunner Sisters and their quaint yet deteriorating neighborhood in New York. As the sisters prepare for Evelina's birthday celebration, the mundane aspects of their lives come to light, revealing their limited financial means and their contentment with their simple existence. Ann Eliza's poignant interactions with Evelina reflect the tension between their reliance on one another and their individual longings. The narrative suggests a transformative presence in the form of Mr. Herman Ramy, whose connection with the sisters will likely complicate their lives further, hinting at themes of love, sacrifice, and the stark realities of their social status.  New York (N.Y.) -- Social life and customs -- 19th century -- Fiction"
"Benét, Stephen Vincent, 1898-1943","""Young Adventure: A Book of Poems"" by Stephen Vincent Benét is a poetry collection written in the early 20th century, specifically the 1910s. This collection encapsulates the themes of youth, adventure, and the corresponding emotions tied to coming-of-age experiences. Benét, an American poet known for his rich imagery and profound insights, presents verses that delve into the essence of youthful exploration and the vibrancy of life.  The collection is composed of various poems, each offering a unique reflection on life's adventures, be it through the lens of romantic encounters, nostalgic moments in nature, or the struggles faced during a turbulent time in history. The poems range from the tense anticipation found in ""Before an Examination"" to the bittersweet reminiscences captured in ""Going Back to School."" Through vivid imagery and masterful language, Benét evokes the complexities of youth, the quest for identity, and the enduring power of memory. The work as a whole conveys a sense of wonder and longing, painting a tender yet poignant picture of what it means to embrace youth amidst the trials of life. ",American poetry,Young Adventure: A Book of Poems,poesía,{'NORP'},alegría,"Benét, Stephen Vincent, 1898-1943 ""Young Adventure: A Book of Poems"" by Stephen Vincent Benét is a poetry collection written in the early 20th century, specifically the 1910s. This collection encapsulates the themes of youth, adventure, and the corresponding emotions tied to coming-of-age experiences. Benét, an American poet known for his rich imagery and profound insights, presents verses that delve into the essence of youthful exploration and the vibrancy of life.  The collection is composed of various poems, each offering a unique reflection on life's adventures, be it through the lens of romantic encounters, nostalgic moments in nature, or the struggles faced during a turbulent time in history. The poems range from the tense anticipation found in ""Before an Examination"" to the bittersweet reminiscences captured in ""Going Back to School."" Through vivid imagery and masterful language, Benét evokes the complexities of youth, the quest for identity, and the enduring power of memory. The work as a whole conveys a sense of wonder and longing, painting a tender yet poignant picture of what it means to embrace youth amidst the trials of life.  American poetry"
"Robinson, Edwin Arlington, 1869-1935","""Children of the Night"" by Edwin Arlington Robinson is a collection of poems published in the late 19th century. This work presents a profound exploration of themes such as despair, human existence, and the search for meaning within a dark and often unforgiving world. Robinson, known for his poignant depictions of the human condition, utilizes various poetic forms and structures to convey feelings of melancholy and introspection throughout the collection.  The poems within ""Children of the Night"" delve into the struggles of individuals grappling with their places in society and the weight of their own experiences. For example, the titular poem reflects on the sorrow of those who find themselves lost in darkness, while ""Richard Cory"" brings to light the tragic irony of a seemingly perfect man who ultimately succumbs to despair. Each poem invites readers to reflect on universal human emotions, capturing both fleeting joys and lasting sorrows that resonate with the reader's own life experiences. Through vivid imagery and emotional depth, Robinson masterfully illustrates the complexities of life, urging a contemplation of the relationship between light and darkness in the human spirit. ",Poetry,Children of the Night,poesía,set(),alegría,"Robinson, Edwin Arlington, 1869-1935 ""Children of the Night"" by Edwin Arlington Robinson is a collection of poems published in the late 19th century. This work presents a profound exploration of themes such as despair, human existence, and the search for meaning within a dark and often unforgiving world. Robinson, known for his poignant depictions of the human condition, utilizes various poetic forms and structures to convey feelings of melancholy and introspection throughout the collection.  The poems within ""Children of the Night"" delve into the struggles of individuals grappling with their places in society and the weight of their own experiences. For example, the titular poem reflects on the sorrow of those who find themselves lost in darkness, while ""Richard Cory"" brings to light the tragic irony of a seemingly perfect man who ultimately succumbs to despair. Each poem invites readers to reflect on universal human emotions, capturing both fleeting joys and lasting sorrows that resonate with the reader's own life experiences. Through vivid imagery and emotional depth, Robinson masterfully illustrates the complexities of life, urging a contemplation of the relationship between light and darkness in the human spirit.  Poetry"
